Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region,Stress_Level_Category,Social_Isolation_Category
EMP0001,32,Non-binary,HR,Healthcare,13,Hybrid,47,7,2,Medium,Depression,No,Decrease,1,Unsatisfied,1,Weekly,Good,Europe,Low,Low
EMP0002,40,Femaleemale,Data Scientist,IT,3,Remote,52,4,1,Medium,Anxiety,No,Increase,3,Satisfied,2,Weekly,Good,Asia,Low,Medium
EMP0003,59,Non-binary,Software Engineer,Education,22,Hybrid,46,11,5,Medium,Anxiety,No,No Change,4,Unsatisfied,5,,Poor,North America,High,Medium
EMP0004,27,Maleale,Software Engineer,Finance,20,Onsite,32,8,4,High,Depression,Yes,Increase,3,Unsatisfied,3,,Poor,Europe,Medium,Medium
EMP0005,49,Maleale,Sales,Consulting,32,Onsite,35,12,2,High,,Yes,Decrease,3,Unsatisfied,3,Weekly,Average,North America,Low,Medium
EMP0006,59,Non-binary,Sales,IT,31,Hybrid,39,3,4,High,,No,Increase,5,Unsatisfied,1,,Average,South America,Medium,High
EMP0007,31,Prefer not to say,Sales,IT,24,Remote,51,7,3,Low,Anxiety,Yes,Decrease,5,Neutral,3,Daily,Poor,Asia,Medium,High
EMP0008,42,Non-binary,Data Scientist,Manufacturing,6,Onsite,54,7,3,Medium,Depression,No,Decrease,5,Satisfied,4,,Average,North America,Medium,High
EMP0009,56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,24,4,2,High,,Yes,Decrease,2,Unsatisfied,4,Daily,Poor,Europe,Low,Low
EMP0010,30,Femaleemale,HR,IT,28,Hybrid,57,6,1,Low,Depression,Yes,Decrease,2,Neutral,1,Weekly,Poor,North America,Low,Low
EMP0011,33,Non-binary,Software Engineer,Finance,17,Remote,48,3,3,High,,Yes,Decrease,4,Satisfied,2,Weekly,Average,Oceania,Medium,Medium
EMP0012,47,Femaleemale,Marketing,Consulting,31,Hybrid,26,12,4,Medium,,Yes,No Change,4,Neutral,3,Weekly,Poor,Africa,Medium,Medium
EMP0013,40,Femaleemale,Marketing,Consulting,1,Remote,21,7,2,High,Depression,Yes,Decrease,2,Neutral,1,Weekly,Good,Europe,Low,Low
EMP0014,51,Non-binary,Designer,Manufacturing,5,Hybrid,45,13,1,Low,Anxiety,No,Decrease,2,Satisfied,5,Weekly,Poor,North America,Low,Low
EMP0015,36,Prefer not to say,Project Manager,Retail,23,Remote,59,11,3,High,Anxiety,Yes,Decrease,5,Neutral,3,Weekly,Average,Oceania,Medium,High
EMP0016,56,Femaleemale,Sales,Healthcare,13,Remote,44,11,4,Low,Anxiety,No,No Change,5,Satisfied,4,Weekly,Average,Africa,Medium,High
EMP0017,33,Prefer not to say,HR,Education,3,Onsite,52,9,2,Medium,,No,No Change,1,Satisfied,1,Weekly,Good,Africa,Low,Low
EMP0018,45,Non-binary,Data Scientist,Consulting,20,Onsite,37,8,3,Low,Burnout,Yes,Decrease,5,Neutral,5,Weekly,Good,Europe,Medium,High
EMP0019,49,Non-binary,Software Engineer,IT,30,Remote,36,6,1,High,Anxiety,No,No Change,3,Satisfied,2,Weekly,Good,Oceania,Low,Medium
EMP0020,59,Maleale,Software Engineer,Consulting,13,Remote,59,4,3,Medium,Anxiety,No,Decrease,4,Neutral,1,Daily,Average,South America,Medium,Medium
EMP0021,26,Femaleemale,Sales,Retail,33,Hybrid,21,1,2,Low,Burnout,No,Increase,2,Satisfied,1,Weekly,Poor,South America,Low,Low
EMP0022,26,Non-binary,Sales,Education,21,Onsite,54,12,3,Medium,Depression,No,Decrease,3,Unsatisfied,4,Daily,Poor,North America,Medium,Medium
EMP0023,43,Prefer not to say,Sales,Finance,21,Onsite,57,1,3,Low,Depression,Yes,Increase,3,Satisfied,4,Daily,Average,Africa,Medium,Medium
EMP0024,53,Non-binary,Marketing,Consulting,11,Onsite,22,12,5,Low,Depression,No,No Change,2,Neutral,3,Weekly,Poor,Asia,High,Low
EMP0025,56,Maleale,Sales,Finance,6,Remote,54,15,3,Low,Burnout,No,Increase,2,Neutral,4,Daily,Average,North America,Medium,Low
EMP0026,49,Maleale,Project Manager,Healthcare,23,Onsite,21,14,4,High,Burnout,No,No Change,4,Neutral,3,,Good,South America,Medium,Medium
EMP0027,36,Non-binary,Project Manager,Retail,30,Onsite,24,12,3,High,,No,Decrease,4,Unsatisfied,4,,Poor,North America,Medium,Medium
EMP0028,53,Femaleemale,Project Manager,Retail,31,Onsite,56,4,4,Low,Depression,No,No Change,4,Unsatisfied,4,,Poor,Oceania,Medium,Medium
EMP0029,47,Prefer not to say,Sales,IT,22,Onsite,33,10,3,High,Depression,Yes,Decrease,4,Satisfied,1,Daily,Poor,Europe,Medium,Medium
EMP0030,59,Maleale,Software Engineer,Healthcare,34,Remote,25,15,2,High,Depression,Yes,No Change,3,Satisfied,1,Weekly,Poor,North America,Low,Medium
EMP0031,22,Femaleemale,Data Scientist,IT,22,Onsite,20,11,1,Low,Anxiety,Yes,No Change,5,Neutral,2,Weekly,Average,Asia,Low,High
EMP0032,37,Prefer not to say,Marketing,Manufacturing,4,Hybrid,33,14,2,Medium,Depression,No,Decrease,3,Satisfied,5,,Average,North America,Low,Medium
EMP0033,45,Prefer not to say,Project Manager,Manufacturing,29,Remote,20,14,2,Medium,Anxiety,Yes,Decrease,5,Satisfied,5,Daily,Good,North America,Low,High
EMP0034,48,Maleale,Software Engineer,Healthcare,27,Remote,26,9,3,Medium,Anxiety,Yes,No Change,5,Neutral,4,Daily,Average,North America,Medium,High
EMP0035,36,Maleale,Designer,IT,24,Hybrid,22,6,4,Medium,Depression,No,No Change,1,Unsatisfied,3,Weekly,Average,Europe,Medium,Low
EMP0036,46,Prefer not to say,Sales,Healthcare,28,Hybrid,57,8,4,Low,,Yes,No Change,1,Neutral,5,,Poor,Europe,Medium,Low
EMP0037,48,Maleale,Sales,Finance,10,Onsite,30,12,1,Low,Depression,Yes,Decrease,5,Satisfied,3,,Poor,Asia,Low,High
EMP0038,31,Femaleemale,Designer,Healthcare,18,Remote,47,14,2,Low,,Yes,Increase,2,Satisfied,5,Daily,Good,Asia,Low,Low
EMP0039,24,Non-binary,Sales,IT,21,Onsite,48,12,4,Low,Anxiety,Yes,No Change,3,Neutral,1,Weekly,Average,Africa,Medium,Medium
EMP0040,49,Maleale,Marketing,Consulting,20,Hybrid,20,1,3,High,,No,Increase,1,Unsatisfied,5,Weekly,Poor,Asia,Medium,Low
EMP0041,30,Non-binary,Data Scientist,IT,22,Remote,44,15,4,High,Burnout,No,Decrease,1,Neutral,5,Daily,Poor,Europe,Medium,Low
EMP0042,53,Maleale,Project Manager,IT,14,Onsite,29,13,2,Low,,No,No Change,1,Unsatisfied,5,,Good,North America,Low,Low
EMP0043,54,Prefer not to say,Project Manager,Finance,26,Remote,58,6,3,High,,Yes,Increase,3,Unsatisfied,3,Weekly,Poor,Europe,Medium,Medium
EMP0044,54,Femaleemale,Designer,Manufacturing,12,Remote,53,12,4,Medium,Depression,Yes,No Change,1,Unsatisfied,3,,Average,Europe,Medium,Low
EMP0045,57,Prefer not to say,HR,Retail,13,Remote,23,6,3,High,Anxiety,Yes,No Change,5,Neutral,2,Daily,Good,South America,Medium,High
EMP0046,32,Maleale,Marketing,Retail,24,Remote,42,8,2,Medium,Burnout,No,No Change,2,Neutral,3,Daily,Poor,North America,Low,Low
EMP0047,33,Maleale,Data Scientist,Education,33,Remote,35,15,1,Medium,Burnout,Yes,Decrease,1,Unsatisfied,5,Weekly,Good,South America,Low,Low
EMP0048,30,Femaleemale,Sales,Consulting,4,Remote,39,2,5,High,,No,Decrease,1,Unsatisfied,4,,Good,Oceania,High,Low
EMP0049,22,Femaleemale,HR,Healthcare,7,Onsite,29,9,4,Low,,No,Increase,2,Neutral,3,Daily,Poor,Africa,Medium,Low
EMP0050,35,Maleale,Project Manager,Retail,11,Onsite,37,3,4,Medium,Burnout,No,No Change,1,Satisfied,3,,Average,Europe,Medium,Low
EMP0051,26,Non-binary,HR,Manufacturing,34,Onsite,28,10,4,High,Anxiety,Yes,Decrease,5,Satisfied,4,Daily,Good,Europe,Medium,High
EMP0052,47,Maleale,Sales,Consulting,25,Remote,31,9,5,Low,,No,Decrease,4,Satisfied,1,,Good,South America,High,Medium
EMP0053,42,Femaleemale,Software Engineer,Retail,3,Onsite,26,14,3,Medium,,No,Decrease,2,Satisfied,2,Daily,Good,South America,Medium,Low
EMP0054,60,Prefer not to say,Project Manager,Healthcare,34,Onsite,46,15,2,Medium,Depression,Yes,No Change,1,Neutral,1,,Average,Asia,Low,Low
EMP0055,26,Femaleemale,Software Engineer,Education,5,Hybrid,55,6,1,Medium,Burnout,Yes,Decrease,4,Satisfied,1,Daily,Poor,Asia,Low,Medium
